ID,Translation
A30A,Intel C242 Chipset
A309,Intel C246 Chipset
A305,Intel Z390 Chipset
A306,Intel Q370 Chipset
A2C9,Intel Z370 Chipset
A3C4,Intel H370 Chipset
A3C7,Intel Q360 Chipset
A308,Intel B360 Chipset
A2CC,Intel B365 Chipset
A2CA,Intel H310C Chipset
A303,Intel H310 Chipset
A30C,Intel QM370 Chipset
A30D,Intel HM370 Chipset
A30E,Intel CM246 Chipset
A2C4,Intel H270 Chipset
A2C5,Intel Z270 Chipset
A2C6,Intel Q270 Chipset
A2C7,Intel Q250 Chipset
A2C8,Intel B250 Chipset
A2D2,Intel X299 Chipset
A2D3,Intel C422 Chipset
A2C1,Intel 200 Series Chipset
A2CF,Intel 200 Series Chipset
A143,Intel H110 Chipset
A144,Intel H170 Chipset
A145,Intel Z170 Chipset
A146,Intel Q170 Chipset
A147,Intel Q150 Chipset
A148,Intel B150 Chipset
A149,Intel C236 Chipset
A14A,Intel C232 Chipset
A14D,Intel QM170 Chipset
A14E,Intel HM170 Chipset
A150,Intel CM236 Chipset
A151,Intel QMS180 Chipset
A152,Intel HM175 Chipset
A153,Intel QM175 Chipset
A154,Intel CM238 Chipset
A155,Intel QMU185 Chipset
1C43,Intel Mobile 6 Series Chipset
1C44,Intel Z68 Chipset
1C46,Intel P67 Chipset
1C47,Intel UM67 Chipset
1C49,Intel HM65 Chipset
1C4A,Intel H67 Chipset
1C4B,Intel HM67 Chipset
1C4C,Intel Q65 Chipset
1C4D,Intel QS67 Chipset
1C4E,Intel Q67 Chipset
1C4F,Intel QM67 Chipset
1C50,Intel B65 Chipset
1C52,Intel C202 Chipset
1C54,Intel C204 Chipset
1C56,Intel C206 Chipset
1C58,Intel Upgraded B65 Chipset
1C59,Intel Upgraded HM67 Chipset
1C5A,Intel Upgraded Q67 Chipset
1C5C,Intel H61 Chipset
1C41,Intel Mobile SFF 6 Series Chipset
1E44,Intel Z77 Chipset
1E46,Intel Z75 Chipset
1E47,Intel Q77 Chipset
1E48,Intel Q75 Chipset
1E49,Intel B75 Chipset
1E4A,Intel H77 Chipset
1E53,Intel C216 Chipset
1E55,Intel QM77 Chipset
1E56,Intel QS77 Chipset
1E57,Intel HM77 Chipset
1E58,Intel UM77 Chipset
1E59,Intel HM76 Chipset
1E5B,Intel UM77 with Intel(R) Smart Response Technology
1E5D,Intel HM75 Chipset
1E5E,Intel HM70 Chipset
8CC6,Intel H97 Chipset
8CC4,Intel Z97 Chipset
8CC3,Intel HM97 Chipset
8CC5,Intel QM97 Chipset
8C41,Intel 8 Series Mobile Super SKU Chipset
8C44,Intel Z87 Chipset
8C46,Intel Z85 Chipset
8C49,Intel HM86 Chipset
8C4A,Intel H87 Chipset
8C4B,Intel HM87 Chipset
8C4C,Intel Q85 Chipset
8C4E,Intel Q87 Chipset
8C4F,Intel QM87 Chipset
8C50,Intel B85 Chipset
8C52,Intel C222 Chipset
8C54,Intel C224 Chipset
8C56,Intel C226 Chipset
8C58,Intel C220 Chipset
8C5C,Intel H81 Chipset
3B02,Intel P55 Chipset
3B03,Intel PM55 Chipset
3B04,Intel P57 Chipset
3B05,Intel PM57 Chipset
3B06,Intel H55 Chipset
3B07,Intel QM57 Chipset
3B08,Intel H57 Chipset
3B09,Intel HM55 Chipset
3B0A,Intel Q57 Chipset
3B0B,Intel HM57 Chipset
3B0C,Intel A57 Chipset
3B0E,Intel B55 Chipset
3B0F,Intel QS57 Chipset
3B12,Intel 3400 Series Chipset
3B14,Intel 3420 Series Chipset
3B16,Intel 3450 Series Chipset
8CC3,Intel HM97 Chipset
8CC4,Intel Z97 Chipset
8CC5,Intel QM97 Chipset
8CC6,Intel H97 Chipset
27B0,Intel 82801GH ICH7DH Chipset
27B8,Intel 82801GB/GR ICH7 Chipset
27B9,Intel 82801GBM ICH7-M/U Chipset
27BD,Intel 82801GHM ICH7-M/U DH Chipset
2810,Intel ICH8/R Chipset
2811,Intel ICH8M-E Chipset
2812,Intel ICH8DH Chipset
2814,Intel ICH8DO Chipset
2815,Intel ICH8M Chipset
2910,Intel ICH9 Chipset
2911,Intel ICH9M Chipset
2912,Intel ICH9DH Chipset
2914,Intel ICH9DO Chipset
2916,Intel ICH9R Chipset
2917,Intel ICH9M-E Chipset
2918,Intel ICH9 Chipset
2919,Intel ICH9M Chipset
3A10,Intel ICH10 Chipset
3A14,Intel ICH10DO Chipset
3A1A,Intel ICH10D Chipset
3A16,Intel ICH10R Chipset
3A18,Intel ICH10 Chipset
3A1E,Intel ICH10 Chipset
2640,Intel 82801FB ICH6 Chipset
2641,Intel 82801FBM ICH6 Chipset
2642,Intel 82801FB ICH6 Chipset
24D0,Intel 82801EB ICH5 Chipset
24DC,Intel 82801EB ICH5 Chipset
25A1,Intel 6300ESB/ICH5 Chipset
0F00,Intel SOC
0F1C,Intel SOC
9D41,Intel 7th SOC (ES)
9D43,Intel 6/7th SOC (U)
9D48,Intel 6/7th SOC (U)
9D46,Intel 6/7th SOC (Y)
9D4B,Intel 7th SOC (Y with iHDCP2.2 Premium)
9D4E,Intel 7/8th SOC (U with iHDCP2.2 Premium)
9D50,Intel 7/8th SOC (U with iHDCP2.2 Base)
9D51,Intel 7th SOC (iHDCP2.2 ES)
9D53,Intel 7th SOC (U Base)
9D56,Intel 7th SOC (Y Premium)
9D58,Intel 7th SOC (U Premium)
A141,Intel 100 Series/C230 Series Chipset
A142,Intel 100 Series/C230 Series Chipset
A14B,Intel 100 Series/C230 Series ES Chipset
A14C,Intel 100 Series/C230 Series Chipset
1D40,Intel X79/C600 Series Chipset
1D41,Intel X79 Chipset
1E41,Intel 7 Series/C216 Chipset
1E42,Intel 7 Series/C216 Family Mobile Chipset
1E43,Intel 7 Series/C216 Family Mobile SFF Chipset
1E5F,Intel NM70 Chipset
8C40,Intel 8 Series/C220 Series Unfused part Chipset
8C42,Intel 8 Series/C220 Series Desktop Super SKU Chipset
9C40,Intel 8 Series (Unfused Part) Chipset
9C41,Intel 8 Series (Super SKU) Chipset
9C42,Intel 8 Series (LPC DID fusing) Chipset
9C43,Intel Haswell SOC
9C44,Intel 8 Series (LPC DID fusing) Chipset
9C45,Intel 8 Series (Mainstream SKU) Chipset
9C46,Intel 8 Series (LPC DID fusing) Chipset
9C47,Intel 8 Series (Value SKU) Chipset
9C47,Intel 8 Series (LPC DID fusing) Chipset
9C48,Intel 8 Series (LPC DID fusing) Chipset
9C49,Intel 8 Series (LPC DID fusing) Chipset
9C4A,Intel 8 Series (LPC DID fusing) Chipset
9C4B,Intel 8 Series (LPC DID fusing) Chipset
9C4C,Intel 8 Series (LPC DID fusing) Chipset
9C4D,Intel 8 Series (LPC DID fusing) Chipset
9C4E,Intel 8 Series (LPC DID fusing) Chipset
9C4F,Intel 8 Series (LPC DID fusing) Chipset
9C50,Intel 8 Series (LPC DID fusing) Chipset
9C51,Intel 8 Series (LPC DID fusing) Chipset
9C52,Intel 8 Series (LPC DID fusing) Chipset
9C53,Intel 8 Series (LPC DID fusing) Chipset
9C54,Intel 8 Series (LPC DID fusing) Chipset
9C52,Intel 8 Series (LPC DID fusing) Chipset
9C55,Intel 8 Series (LPC DID fusing) Chipset
9C56,Intel 8 Series (LPC DID fusing) Chipset
9C57,Intel 8 Series (LPC DID fusing) Chipset
9C58,Intel 8 Series (LPC DID fusing) Chipset
9C59,Intel 8 Series (LPC DID fusing) Chipset
9C5A,Intel 8 Series (LPC DID fusing) Chipset
9C5B,Intel 8 Series (LPC DID fusing) Chipset
9C5C,Intel 8 Series (LPC DID fusing) Chipset
9C5D,Intel 8 Series (LPC DID fusing) Chipset
9C5E,Intel 8 Series (LPC DID fusing) Chipset
9C5F,Intel 8 Series (LPC DID fusing) Chipset
8CC1,Intel 9 Series Chipset Family Mobile Chipset
8CC2,Intel 9 Series Chipset Family Desktop Chipset
A1C0,Intel C620 Series Chipset
A1C1,Intel C620 Series Chipset
A1C2,Intel C620 Series Chipset
A1C3,Intel C620 Series Chipset
A1C4,Intel C620 Series Chipset
A1C5,Intel C620 Series Chipset
A1C6,Intel C620 Series Chipset
A1C7,Intel C620 Series Chipset
A240,Intel C620 Series - NS Chipset
A241,Intel C620 Series - NS Chipset
A242,Intel C620 Series - NS Chipset
A243,Intel C620 Series - NS Chipset
A244,Intel C620 Series - NS Chipset
A245,Intel C620 Series - NS Chipset
A246,Intel C620 Series - NS Chipset
A247,Intel C620 Series - NS Chipset
A2C1,Intel 200 Series Chipset Family Chipset
19DC,Intel Atom(TM) processor C3000 product family LPC Controller
A300,Intel LPC Controller/eSPI Controller
A301,Intel LPC Controller (SuperSKU Client)
A302,Intel LPC Controller/eSPI Controller
A30B,Intel LPC Controller/eSPI Controller
A30F,Intel LPC Controller/eSPI Controller
A310,Intel LPC Controller (SuperSKU Server)
A311,Intel LPC Controller/eSPI Controller
A312,Intel LPC Controller/eSPI Controller
A313,Intel LPC Controller/eSPI Controller
A314,Intel LPC Controller/eSPI Controller
A315,Intel LPC Controller/eSPI Controller
A316,Intel LPC Controller/eSPI Controller
A317,Intel LPC Controller/eSPI Controller
A318,Intel LPC Controller/eSPI Controller
A319,Intel LPC Controller/eSPI Controller
A31A,Intel LPC Controller/eSPI Controller
A31C,Intel LPC Controller/eSPI Controller
A31B,Intel LPC Controller/eSPI Controller
A31D,Intel LPC Controller/eSPI Controller
A31E,Intel LPC Controller/eSPI Controller
A31F,Intel LPC Controller/eSPI Controller
5AE8,Intel ApolloLake SOC
9CC1,Intel 5th Core(TM) Engineering Sample LPC
9CC2,Intel 5th Core(TM) Engineering Sample LPC Controller
9CC3,Intel 5th Core(TM) Premium SKU LPC Controller
9CC5,Intel 5th Core(TM) Base SKU LPC Controller
9CC1,Intel 5th Core(TM) Engineering Sample LPC Controller
9CC6,Intel Core M ES LPC Controller
9CC7,Intel Core M Premium SKU LPC Controller
9CC9,Intel Core M Base SKU LPC Controller
8D40,Intel X99/C610 Series Chipset
8D41,Intel X99/C610 Series Chipset
8D42,Intel X99/C610 Series Chipset
8D43,Intel X99/C610 Series Chipset
8D44,Intel X99/C610 Series Chipset
8D45,Intel X99/C610 Series Chipset
8D46,Intel X99/C610 Series Chipset
8D47,Intel X99/C610 Series Chipset
8D48,Intel X99/C610 Series Chipset
8D49,Intel X99/C610 Series Chipset
8D4A,Intel X99/C610 Series Chipset
8D4C,Intel X99/C610 Series Chipset
8D4B,Intel X99/C610 Series Chipset
8D4D,Intel X99/C610 Series Chipset
8D50,Intel X99/C610 Series Chipset
8D51,Intel X99/C610 Series Chipset
8D52,Intel X99/C610 Series Chipset
8D53,Intel X99/C610 Series Chipset
8D54,Intel X99/C610 Series Chipset
8D55,Intel X99/C610 Series Chipset
8D56,Intel X99/C610 Series Chipset
8D57,Intel X99/C610 Series Chipset
8D58,Intel X99/C610 Series Chipset
8D59,Intel X99/C610 Series Chipset
8D5A,Intel X99/C610 Series Chipset
8D5B,Intel X99/C610 Series Chipset
8D5C,Intel X99/C610 Series Chipset
8D5D,Intel X99/C610 Series Chipset
8D5E,Intel X99/C610 Series Chipset
8D5F,Intel X99/C610 Series Chipset
0F1C,Intel CalleyView
0683,Intel H410D Chipset
0684,Intel H470 Chipset
0685,Intel Z490 Chipset
0687,Intel Q470 Chipset
0688,Intel B460 Chipset
0689,Intel C256 Chipset
068A,Intel C252 Chipset
068C,Intel QM480 Chipset
068D,Intel HM470 Chipset
068E,Intel WM490 Chipset
0693,Intel QMS480 Chipset
0697,Intel W480 Chipset
069A,Intel H420E Chipset
A3DA,Intel H410 Chipset
A3C8,Intel B460 Chipset
3880,IceLake PCH
3881,IceLake PCH
3882,IceLake PCH
3883,IceLake PCH
3884,IceLake PCH
3885,IceLake PCH
3886,IceLake PCH
3887,IceLake PCH
3888,IceLake PCH
3889,IceLake PCH
388A,IceLake PCH
388B,IceLake PCH
388C,IceLake PCH
388D,IceLake PCH
388E,IceLake PCH
388F,IceLake PCH
3890,IceLake PCH
3891,IceLake PCH
3892,IceLake PCH
3893,IceLake PCH
3894,IceLake PCH
3895,IceLake PCH
3896,IceLake PCH
3897,IceLake PCH
3898,IceLake PCH
3899,IceLake PCH
389A,IceLake PCH
389B,IceLake PCH
389C,IceLake PCH
389D,IceLake PCH
389E,IceLake PCH
389F,IceLake PCH
3480,IceLake SOC
3481,IceLake SOC
3482,IceLake SOC
3483,IceLake SOC
3484,IceLake SOC
3485,IceLake SOC
3486,IceLake SOC
3487,IceLake SOC
3488,IceLake SOC
3489,IceLake SOC
348A,IceLake SOC
348B,IceLake SOC
348C,IceLake SOC
348D,IceLake SOC
348E,IceLake SOC
348F,IceLake SOC
3490,IceLake SOC
3491,IceLake SOC
3492,IceLake SOC
3493,IceLake SOC
3494,IceLake SOC
3495,IceLake SOC
3496,IceLake SOC
3497,IceLake SOC
3498,IceLake SOC
3499,IceLake SOC
349A,IceLake SOC
349B,IceLake SOC
349C,IceLake SOC
349D,IceLake SOC
349E,IceLake SOC
349F,IceLake SOC
0281,Intel CometLake SOC
0280,Intel CometLake SOC
0282,Intel CometLake SOC
0284,Intel CometLake SOC
0285,Intel CometLake SOC
0286,Intel CometLake SOC
0287,Intel CometLake SOC
0288,Intel CometLake SOC
0289,Intel CometLake SOC
028A,Intel CometLake SOC
028B,Intel CometLake SOC
028C,Intel CometLake SOC
028D,Intel CometLake SOC
028E,Intel CometLake SOC
028F,Intel CometLake SOC
0290,Intel CometLake SOC
0291,Intel CometLake SOC
0292,Intel CometLake SOC
0293,Intel CometLake SOC
0294,Intel CometLake SOC
0295,Intel CometLake SOC
0296,Intel CometLake SOC
0297,Intel CometLake SOC
0298,Intel CometLake SOC
0299,Intel CometLake SOC
029A,Intel CometLake SOC
029B,Intel CometLake SOC
029C,Intel CometLake SOC
029D,Intel CometLake SOC
029E,Intel CometLake SOC
029F,Intel CometLake SOC
0283,Intel CometLake SOC
A080,Intel TigerLake SOC
A081,Intel TigerLake SOC
A082,Intel TigerLake SOC
A083,Intel TigerLake SOC
A084,Intel TigerLake SOC
A085,Intel TigerLake SOC
A086,Intel TigerLake SOC
A087,Intel TigerLake SOC
A088,Intel TigerLake SOC
A089,Intel TigerLake SOC
A08A,Intel TigerLake SOC
A08B,Intel TigerLake SOC
A08C,Intel TigerLake SOC
A08D,Intel TigerLake SOC
A08E,Intel TigerLake SOC
A08F,Intel TigerLake SOC
A090,Intel TigerLake SOC
A091,Intel TigerLake SOC
A092,Intel TigerLake SOC
A093,Intel TigerLake SOC
A094,Intel TigerLake SOC
A095,Intel TigerLake SOC
A096,Intel TigerLake SOC
A097,Intel TigerLake SOC
A098,Intel TigerLake SOC
A099,Intel TigerLake SOC
A09A,Intel TigerLake SOC
A09B,Intel TigerLake SOC
A09C,Intel TigerLake SOC
A09D,Intel TigerLake SOC
A09E,Intel TigerLake SOC
A09F,Intel TigerLake SOC
4384,Intel Q570 Chipset
4385,Intel Z590 Chipset
4386,Intel H570 Chipset
4387,Intel B560 Chipset
4388,Intel H510 Chipset
4389,Intel WM590 Chipset
438A,Intel QM580 Chipset
438B,Intel HM570 Chipset
438C,Intel C252 Chipset
438D,Intel C256 Chipset
438E,Intel H310D Chipset
438F,Intel W580 Chipset
4390,Intel RM590E Chipset
4391,Intel R580E Chipset
7A83,Intel Q670 Chipset
7A84,Intel Z690 Chipset
7A85,Intel H670 Chipset
7A86,Intel B660 Chipset
7A87,Intel H610 Chipset
7A88,Intel W680 Chipset
7A89,Intel X699 Chipset
7A8A,Intel W685 Chipset
7A90,Intel R680E Chipset
7A91,Intel Q670E Chipset
7A92,Intel H610E Chipset
7A8C,Intel 6xx Chipset
7A8D,Intel 6xx Chipset
7A8E,Intel 6xx Chipset
7A8F,Intel 6xx Chipset
7A8B,Intel 6xx Locked Chipset
7A82,Intel 6xx Locked Chipset
7A81,Intel 6xx unLocked Chipset
A080,Intel Tiger Lake-LP SOC
A081,Intel Tiger Lake-LP SOC
A082,Intel Tiger Lake-LP SOC
A083,Intel Tiger Lake-LP SOC
A084,Intel Tiger Lake-LP SOC
A085,Intel Tiger Lake-LP SOC
A086,Intel Tiger Lake-LP SOC
A087,Intel Tiger Lake-LP SOC
A088,Intel Tiger Lake-LP SOC
A089,Intel Tiger Lake-LP SOC
A08A,Intel Tiger Lake-LP SOC
A08B,Intel Tiger Lake-LP SOC
A08C,Intel Tiger Lake-LP SOC
A08D,Intel Tiger Lake-LP SOC
A08E,Intel Tiger Lake-LP SOC
A08F,Intel Tiger Lake-LP SOC
A090,Intel Tiger Lake-LP SOC
A091,Intel Tiger Lake-LP SOC
A092,Intel Tiger Lake-LP SOC
A093,Intel Tiger Lake-LP SOC
A094,Intel Tiger Lake-LP SOC
A095,Intel Tiger Lake-LP SOC
A096,Intel Tiger Lake-LP SOC
A097,Intel Tiger Lake-LP SOC
A098,Intel Tiger Lake-LP SOC
A099,Intel Tiger Lake-LP SOC
A09A,Intel Tiger Lake-LP SOC
A09B,Intel Tiger Lake-LP SOC
A09C,Intel Tiger Lake-LP SOC
A09D,Intel Tiger Lake-LP SOC
A09E,Intel Tiger Lake-LP SOC
A09F,Intel Tiger Lake-LP SOC
31E8,Intel GeminiLake SOC
4D80,Intel JasperLake SOC
4D81,Intel JasperLake SOC
4D82,Intel JasperLake SOC
4D83,Intel JasperLake SOC
4D84,Intel JasperLake SOC
4D85,Intel JasperLake SOC
4D86,Intel JasperLake SOC
4D87,Intel JasperLake SOC
4D88,Intel JasperLake SOC
4D89,Intel JasperLake SOC
4D8A,Intel JasperLake SOC
4D8B,Intel JasperLake SOC
4D8C,Intel JasperLake SOC
4D8D,Intel JasperLake SOC
4D8E,Intel JasperLake SOC
4D8F,Intel JasperLake SOC
9880,Intel LakeField SOC
9881,Intel LakeField SOC
9882,Intel LakeField SOC
9883,Intel LakeField SOC
9884,Intel LakeField SOC
9885,Intel LakeField SOC
9886,Intel LakeField SOC
9887,Intel LakeField SOC
9888,Intel LakeField SOC
9889,Intel LakeField SOC
988A,Intel LakeField SOC
988B,Intel LakeField SOC
988C,Intel LakeField SOC
988D,Intel LakeField SOC
988E,Intel LakeField SOC
988F,Intel LakeField SOC
7A04,Intel Z790 Chipset
7A0C,Intel HM770 Chipset
7E02,Intel Meteor Lake SOC
7A06,Intel B760 Chipset
